rep,arm,leg,ns_per_op
6,B-branch,settings-d1,0.815
6,B-branch,settings-d8,0.847
6,B-branch,stream-store,76.137
6,B-branch,plain-write,52.123
6,B-branch,control-codec,23.531
6,B-branch,settings-d1,0.805
6,B-branch,settings-d8,0.805
6,B-branch,stream-store,76.084
6,B-branch,plain-write,52.055
6,B-branch,control-codec,23.366
7,A-main,settings-d1,0.802
7,A-main,settings-d8,0.808
7,A-main,stream-store,79.365
7,A-main,plain-write,55.062
7,A-main,control-codec,23.849
7,A-main,settings-d1,0.81
7,A-main,settings-d8,0.81
7,A-main,stream-store,77.356
7,A-main,plain-write,52.743
7,A-main,control-codec,23.603
7,A-main,settings-d1,0.805
7,A-main,settings-d8,0.809
7,A-main,stream-store,77.206
7,A-main,plain-write,52.778
7,A-main,control-codec,23.869
7,B-branch,settings-d1,0.802
7,B-branch,settings-d8,0.848
7,B-branch,stream-store,76.522
7,B-branch,plain-write,53.27
7,B-branch,control-codec,23.534
7,B-branch,settings-d1,0.806
7,B-branch,settings-d8,0.81
7,B-branch,stream-store,77.704
7,B-branch,plain-write,53.163
7,B-branch,control-codec,23.552
7,B-branch,settings-d1,0.811
7,B-branch,settings-d8,0.805
7,B-branch,stream-store,76.232
7,B-branch,plain-write,53.053
7,B-branch,control-codec,23.731
8,A-main,settings-d1,0.802
8,A-main,settings-d8,0.801
8,A-main,stream-store,77.018
8,A-main,plain-write,52.556
8,A-main,control-codec,23.669
8,A-main,settings-d1,0.808
8,A-main,settings-d8,0.808
8,A-main,stream-store,76.771
8,A-main,plain-write,53.256
8,A-main,control-codec,23.559
8,A-main,settings-d1,0.805
8,A-main,settings-d8,0.805
8,A-main,stream-store,76.437
8,A-main,plain-write,52.63
8,A-main,control-codec,23.637
8,B-branch,settings-d1,0.801
8,B-branch,settings-d8,0.799
8,B-branch,stream-store,75.875
8,B-branch,plain-write,52.794
8,B-branch,control-codec,23.466
8,B-branch,settings-d1,0.804
8,B-branch,settings-d8,0.829
8,B-branch,stream-store,76.798
8,B-branch,plain-write,53.34
8,B-branch,control-codec,24.009
8,B-branch,settings-d1,0.822
8,B-branch,settings-d8,0.818
8,B-branch,stream-store,78.498
8,B-branch,plain-write,52.552
8,B-branch,control-codec,23.441
9,A-main,settings-d1,0.837
9,A-main,settings-d8,0.815
9,A-main,stream-store,77.386
9,A-main,plain-write,53.851
9,A-main,control-codec,23.936
9,A-main,settings-d1,0.817
9,A-main,settings-d8,0.817
9,A-main,stream-store,78.273
9,A-main,plain-write,53.873
9,A-main,control-codec,23.94
9,A-main,settings-d1,0.815
9,A-main,settings-d8,0.818
9,A-main,stream-store,76.557
9,A-main,plain-write,52.419
9,A-main,control-codec,23.657
9,B-branch,settings-d1,0.863
9,B-branch,settings-d8,0.811
9,B-branch,stream-store,77.713
9,B-branch,plain-write,54.063
9,B-branch,control-codec,24.195
9,B-branch,settings-d1,0.824
9,B-branch,settings-d8,0.825
9,B-branch,stream-store,77.68
9,B-branch,plain-write,54.874
9,B-branch,control-codec,23.602
9,B-branch,settings-d1,0.806
9,B-branch,settings-d8,0.809
9,B-branch,stream-store,76.033
9,B-branch,plain-write,52.568
9,B-branch,control-codec,23.366
10,A-main,settings-d1,0.801
10,A-main,settings-d8,0.8
10,A-main,stream-store,78.434
10,A-main,plain-write,53.375
10,A-main,control-codec,23.615
10,A-main,settings-d1,0.811
10,A-main,settings-d8,0.808
10,A-main,stream-store,77.831
10,A-main,plain-write,52.834
10,A-main,control-codec,23.674
10,A-main,settings-d1,0.822
10,A-main,settings-d8,0.843
10,A-main,stream-store,79.501
10,A-main,plain-write,53.32
10,A-main,control-codec,23.553
10,B-branch,settings-d1,0.81
10,B-branch,settings-d8,0.799
10,B-branch,stream-store,76.974
10,B-branch,plain-write,53.172
10,B-branch,control-codec,23.589
10,B-branch,settings-d1,0.81
10,B-branch,settings-d8,0.806
10,B-branch,stream-store,77.614
10,B-branch,plain-write,53.711
10,B-branch,control-codec,23.891
10,B-branch,settings-d1,0.811
10,B-branch,settings-d8,0.807
10,B-branch,stream-store,76.952
10,B-branch,plain-write,52.645
10,B-branch,control-codec,23.5
11,A-main,settings-d1,0.801
11,A-main,settings-d8,0.799
11,A-main,stream-store,77.154
11,A-main,plain-write,65.441
11,A-main,control-codec,23.465
11,A-main,settings-d1,0.804
11,A-main,settings-d8,0.803
11,A-main,stream-store,76.606
11,A-main,plain-write,65.652
11,A-main,control-codec,23.428
11,A-main,settings-d1,0.805
11,A-main,settings-d8,0.805
11,A-main,stream-store,76.903
11,A-main,plain-write,65.308
11,A-main,control-codec,23.919
11,B-branch,settings-d1,0.825
11,B-branch,settings-d8,0.887
11,B-branch,stream-store,77.634
11,B-branch,plain-write,53.149
11,B-branch,control-codec,22.962
11,B-branch,settings-d1,0.82
11,B-branch,settings-d8,0.813
11,B-branch,stream-store,77.679
11,B-branch,plain-write,52.852
11,B-branch,control-codec,23.482
11,B-branch,settings-d1,0.816
11,B-branch,settings-d8,0.818
11,B-branch,stream-store,78.911
11,B-branch,plain-write,52.724
11,B-branch,control-codec,23.028
12,A-main,settings-d1,0.804
12,A-main,settings-d8,0.815
12,A-main,stream-store,77.533
12,A-main,plain-write,54.246
12,A-main,control-codec,22.977
12,A-main,settings-d1,0.815
12,A-main,settings-d8,0.815
12,A-main,stream-store,76.32
12,A-main,plain-write,52.835
12,A-main,control-codec,22.661
12,A-main,settings-d1,0.806
12,A-main,settings-d8,0.81
12,A-main,stream-store,76.167
12,A-main,plain-write,55.162
12,A-main,control-codec,22.81
12,B-branch,settings-d1,0.815
12,B-branch,settings-d8,0.801
12,B-branch,stream-store,74.397
12,B-branch,plain-write,63.805
12,B-branch,control-codec,23.681
12,B-branch,settings-d1,0.808
12,B-branch,settings-d8,0.816
12,B-branch,stream-store,76.213
12,B-branch,plain-write,63.553
12,B-branch,control-codec,24.048
12,B-branch,settings-d1,0.804
12,B-branch,settings-d8,0.807
12,B-branch,stream-store,76.083
12,B-branch,plain-write,63.378
12,B-branch,control-codec,23.534
13,A-main,settings-d1,0.802
13,A-main,settings-d8,0.807
13,A-main,stream-store,78.829
13,A-main,plain-write,52.271
13,A-main,control-codec,23.581
13,A-main,settings-d1,0.806
13,A-main,settings-d8,0.805
13,A-main,stream-store,77.255
13,A-main,plain-write,53.271
13,A-main,control-codec,23.898
13,A-main,settings-d1,0.809
13,A-main,settings-d8,0.887
13,A-main,stream-store,78.798
13,A-main,plain-write,52.345
13,A-main,control-codec,23.391
13,B-branch,settings-d1,0.803
13,B-branch,settings-d8,0.799
13,B-branch,stream-store,76.696
13,B-branch,plain-write,52.593
13,B-branch,control-codec,23.603
13,B-branch,settings-d1,0.805
13,B-branch,settings-d8,0.804
13,B-branch,stream-store,76.452
13,B-branch,plain-write,52.672
13,B-branch,control-codec,23.663
13,B-branch,settings-d1,0.84
13,B-branch,settings-d8,0.806
13,B-branch,stream-store,77.38
13,B-branch,plain-write,52.79
13,B-branch,control-codec,23.605
14,A-main,settings-d1,0.827
14,A-main,settings-d8,0.816
14,A-main,stream-store,77.874
14,A-main,plain-write,52.774
14,A-main,control-codec,25.859
14,A-main,settings-d1,0.818
14,A-main,settings-d8,0.811
14,A-main,stream-store,77.72
14,A-main,plain-write,52.401
14,A-main,control-codec,25.804
14,A-main,settings-d1,0.81
14,A-main,settings-d8,0.807
14,A-main,stream-store,77.061
14,A-main,plain-write,52.397
14,A-main,control-codec,25.762
14,B-branch,settings-d1,0.903
14,B-branch,settings-d8,0.805
14,B-branch,stream-store,76.484
14,B-branch,plain-write,53.044
14,B-branch,control-codec,23.705
14,B-branch,settings-d1,0.809
14,B-branch,settings-d8,0.805
14,B-branch,stream-store,77.276
14,B-branch,plain-write,52.594
14,B-branch,control-codec,23.566
14,B-branch,settings-d1,0.815
14,B-branch,settings-d8,0.806
14,B-branch,stream-store,76.876
14,B-branch,plain-write,52.427
14,B-branch,control-codec,23.513
15,A-main,settings-d1,0.81
15,A-main,settings-d8,0.8
15,A-main,stream-store,75.577
15,A-main,plain-write,66.728
15,A-main,control-codec,23.505
15,A-main,settings-d1,0.802
15,A-main,settings-d8,0.805
15,A-main,stream-store,75.536
15,A-main,plain-write,65.389
15,A-main,control-codec,23.557
15,A-main,settings-d1,0.805
15,A-main,settings-d8,0.805
15,A-main,stream-store,76.648
15,A-main,plain-write,65.225
15,A-main,control-codec,23.375
15,B-branch,settings-d1,0.801
15,B-branch,settings-d8,0.801
15,B-branch,stream-store,76.867
15,B-branch,plain-write,62.53
15,B-branch,control-codec,23.551
15,B-branch,settings-d1,0.81
15,B-branch,settings-d8,0.84
15,B-branch,stream-store,76.987
15,B-branch,plain-write,62.287
15,B-branch,control-codec,23.694
15,B-branch,settings-d1,0.811
15,B-branch,settings-d8,0.81
15,B-branch,stream-store,77.075
15,B-branch,plain-write,62.253
15,B-branch,control-codec,23.552
16,A-main,settings-d1,0.811
16,A-main,settings-d8,0.799
16,A-main,stream-store,79.067
16,A-main,plain-write,52.269
16,A-main,control-codec,23.001
16,A-main,settings-d1,0.806
16,A-main,settings-d8,0.806
16,A-main,stream-store,79.163
16,A-main,plain-write,52.612
16,A-main,control-codec,22.642
16,A-main,settings-d1,0.812
16,A-main,settings-d8,0.806
16,A-main,stream-store,80.389
16,A-main,plain-write,52.675
16,A-main,control-codec,22.645
